Inmuebles,Filial propietaria directa,Matriz,Sede empresa matriz,Sociedad intermedia utilizada,Sede sociedad utilizada,Tipo sociedad utilizada,Administración,Sector,Subsector,Fuente,Fuente 2,Fuente 3,Fuente 4,Fuente 5,Fuente 6
63,ESEO 21 Eseo 21 SL,Dankbar 21 SL,España,Eseo 21 SL,España,Empresa privada,NA,Inmobiliaria,NA,https://www.boe.es/borme/dias/2017/03/10/pdfs/BORME-A-2017-49-08.pdf,NA,NA,NA,NA,NA
63,GRASVER SL,Grasver SL,España,Grasver SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
63,IVASON INVEST SL,Ivason Invest SL,España,Ivason Invest SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
63,"TORRAS I BAGES 79-81, S.l.",Torras i Bages 79-81 SL,España,Torras i Bages 79-81 SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
63,URBAN VIEW DEVELOPMENT SPAIN SOCIMI SA,Urban View Socimi LP,Estados Unidos,Urban View Development Spain Socimi SA,España,Socimi,NA,Inmobiliaria,NA,https://www.urbanview.es/wp-content/uploads/2019/02/DIIM.pdf,https://www.sec.gov/Archives/edgar/data/1724153/0001724153-17-000001-index.htm,NA,NA,NA,NA
62,COGISO SL,Cogiso SL,España,Cogiso SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
62,COOPERATIVA OBRERA DE VIVIENDAS SCCL,Cooperativa Obrera de Viviendas SCCL,España,Cooperativa Obrera de Viviendas SCCL,España,Cooperativa,NA,Otros,NA,https://cov.coop/qui-som/,NA,NA,NA,NA,NA
62,JUSTINIANO 2000 SL,Justiniano 2000 SL,España,Justiniano 2000 SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
62,MERCANTIL DIPUTACIÓ 435 SL,Mercantil Diputació 435 SL,España,Mercantil Diputació 435 SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
62,"PROMOCIONES BRICA, S.A.",Promociones Brica SA,España,Promociones Brica SA,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
62,RANIDIUM SL,Ranidium SL,España,Ranidium SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
61,ALTAMIRA SANTANDER REAL ESTATE SA,Banco Santander,España,Banco Santander,España,Empresa privada,NA,Entidades financieras,Banca,https://www.boe.es/borme/dias/2020/09/25/pdfs/BORME-A-2020-187-28.pdf,NA,NA,NA,NA,NA
61,"FIMES 2000, S.L.",Fimes 2000 SL,España,Fimes 2000 SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
61,OTO SL,Oto SL,España,Oto SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
60,EMPIRE PROPERTIES SPAIN SLU,Blackstone,Estados Unidos,Empire Socimi Holdco SARL,Luxemburgo,Soparfi,NA,Entidades financieras,Fondos de inversión,https://www.boe.es/borme/dias/2017/04/05/pdfs/BORME-A-2017-66-08.pdf,https://www.boe.es/borme/dias/2021/03/04/pdfs/BORME-A-2021-43-08.pdf,https://civio.box.com/s/hh1izw3bpecx63i7kdnp3gd0yknczbu3,https://civio.box.com/s/qdfogb2nnkx6yr4prqxibvxu22xouca1,https://civio.box.com/s/o0d4yarehtbqgk7fk5rhrboxgbij6czh,NA
60,INMOBILIARIA ARIES SL,Inmobiliaria Aries SL,España,Inmobiliaria Aries SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
60,JEAC HABITATGES SL,Jeac Habitatges SL,España,Jeac Habitatges SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
60,LA INMOBILIARIA ARGENSOLENSE SL,La Inmobiliaria Argensolense SL,España,La Inmobiliaria Argensolense SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
59,"LLOGUERS VINYA NOVA,SL",Comercio y Transformación de Maderas SA,España,Lloguers Vinya Nova SL,España,Empresa privada,NA,Inmobiliaria,NA,https://www.boe.es/borme/dias/2019/12/18/pdfs/BORME-A-2019-241-08.pdf,NA,NA,NA,NA,NA
59,ZONA FRANCA GLOBAL BARCELONA SLU,DWS,Alemania,DWS Grundbesitz GMBH,Alemania,Empresa privada,NA,Inmobiliaria,NA,https://www.boe.es/borme/dias/2021/02/05/pdfs/BORME-A-2021-24-28.pdf,https://www.boe.es/borme/dias/2020/01/22/pdfs/BORME-A-2020-14-28.pdf,https://realassets.dws.com/,NA,NA,NA
59,FACORIN SL,Facorin SL,España,Facorin SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
59,ICHO SL,Icho SL,España,Icho SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
59,SA VIDAL RIBAS,Icofre Barcelona SL,España,Icofre Barcelona SL,España,Empresa privada,NA,Inmobiliaria,NA,https://www.boe.es/borme/dias/2020/01/28/pdfs/BORME-A-2020-18-08.pdf,NA,NA,NA,NA,NA
59,PARTLER 2006 SL,Partler 3006 SL,España,Partler 3006 SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
59,PRIMOSOL SL,Primosol SL,España,Primosol SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
58,IRIS LA GARRIGA SAU,1948 Associats,España,Iris La Garriga SA,España,Empresa privada,NA,Otros,NA,https://www.boe.es/borme/dias/2012/11/20/pdfs/BORME-A-2012-222-08.pdf,NA,NA,NA,NA,NA
58,GALA RESIDENCES VIA AUGUSTA SLU,AEW,Estados Unidos,AEW Invest GmbH,Alemania,Empresa privada,NA,Inmobiliaria,NA,https://www.boe.es/borme/dias/2022/03/07/pdfs/BORME-A-2022-45-28.pdf,https://www.boe.es/borme/dias/2019/10/30/pdfs/BORME-A-2019-209-28.pdf,https://www.boe.es/borme/dias/2019/07/18/pdfs/BORME-A-2019-136-28.pdf,https://www.boe.es/borme/dias/2019/10/30/pdfs/BORME-A-2019-209-28.pdf,https://www.aew.com/legal,NA
58,CASBAY SL,Casbay SL,España,Casbay SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
58,CONTRATAS GES SA,Contratas Ges SA,España,Contratas Ges SA,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
58,DOLORES AUTRAN SOLSONA SL,Dolores Autran Solsona SL,España,Dolores Autran Solsona SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
58,"EUMACA, S.A",Eumaca SA,España,Eumaca SA,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
58,FUNDACIÓ VALLDEJULI,Fundació Valldejuli,España,Fundació Valldejuli,España,Fundaciones,NA,Fundaciones,NA,NA,NA,NA,NA,NA,NA
58,GALIL CAPITAL RE SPAIN SOCIMI SA,Galil Capital,España,Galil Capital,España,Socimi,NA,Inmobiliaria,NA,https://www.bmegrowth.es/docs/documentos/Otros/2018/11/05290_Folleto_20181114.pdf,https://www.galilcapital.es/,NA,NA,NA,NA
58,"VOLUMETRIC, S.L.U.",Grup Volumetric,España,Volumetric SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
58,VILAMUR 89 SL,Vilamur 89 SL,España,Vilamur 89 SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
57,ES VERN SA,Es Vern SA,España,Es Vern SA,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
57,FUNDACION PRIVADA RAMON PLA ARMENGOL,Fundación Privada Ramón Plá Armengol,España,Fundación Privada Ramón Plá Armengol,España,Fundaciones,NA,Fundaciones,NA,https://www.fundacion-rpa.org/,NA,NA,NA,NA,NA
57,GRADISA SL,Gradisa SL,España,Gradisa SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
57,IMMOBLES PRESTIGI S.L.,Inmobles Prestigi SL,España,Inmobles Prestigi SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
