Filial propietaria directa	Inmuebles	Matriz	Sede empresa matriz	Sede sociedad utilizada	Tipo sociedad utilizada	Administración	Sector	Subsector	region	typeOfCompany
GALVEZ ANTUNEZ CASTRO BERROCAL 2005, SL	62	Gálvez Antúnez Castro Berrocal 2005 SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Andalucia	Sociedad Privada
ALMACENES PRIETO CARREÑO SL	63	Almacenes Prieto Carreño SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Andalucia	Sociedad Privada
GESTORA DE ACTIVOS SANTANGELO NORTE	63	Gestora de Activos Santangelo Norte	España	España	Empresa privada	NA	Inmobiliaria	NA	Andalucia	Sociedad Privada
MORZAL PROPERTY IBERIA S.L.	181	Vukile Property Fund Limited	Sudáfrica	España	Socimi	NA	Centros comerciales y mercados	NA	Andalucia	Sociedad Privada
HRE RENTAL,SLU	63	HBI Corporate SL	España	España	Empresa privada	NA	Entidades financieras	Compraventa de participaciones	Andalucia	Sociedad Privada
INMOBILIARIA MEZQUITA 1950 SL	64	Grupo Empresarial Carrillo SL	España	España	Empresa privada	NA	Otros	NA	Andalucia	Sociedad Privada
HIH INVEST NERVION PLAZA SLU	66	HIH Invest Real Estate	Alemania	Alemania	Empresa privada	NA	Inmobiliaria	NA	Andalucia	Sociedad Privada
CORE 5 MALAGA, S.L.	66	JARAS ZWEITE Beteiligungsgesellschaft mbH & Co.	Alemania	Luxemburgo	Empresa privada	NA	Inmobiliaria	NA	Andalucia	Sociedad Privada
SANTA LUCIA PROMOTORA Y CONSTRUCTORA SL	66	Santa Lucía Promotora y Constructora SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Andalucia	Sociedad Privada
CARMILA HUELVA, S.L.U.	91	Carrefour	Francia	España	Empresa privada	NA	Centros comerciales y mercados	NA	Andalucia	Sociedad Privada
AYUNTAMIENTO DE JAEN	67	Ayuntamiento de Jaén	España	España	Ayuntamiento	Ayuntamiento	Parque público	NA	Andalucia	Sociedad Pública
