Filial propietaria directa	Inmuebles	Matriz	Sede empresa matriz	Sede sociedad utilizada	Tipo sociedad utilizada	Administración	Sector	Subsector	region	typeOfCompany
CONSERTUM CONSULTORIA Y DESARROLLO INTEGRAL, S.L.	114	Gesurbe Project 	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
CONSTRUCCIONES E INMUEBLES ESLAVA, S.L.	65	Construcciones e inmuebles Eslava SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
CONSTRUCCIONES PAZ, S.L.	89	Construcciones Paz SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
CONSTRUCCIONES RESIDENCIALES Y SOCIALES	385	Construcciones residenciales y sociales	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
CONSTRUCCIONES Y PROMOCIONES CALVIN S.L.	69	Construcciones y Promociones Calvin SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
CONSTRUCTORA CALPENSE, S.A.	94	Constructora Calpense SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
CONSTRUCTORA INMOBILIARIA COYMAR S.A.	51	Inversiones M J M Y C R I SL	España	España	Empresa privada	NA	Consultoría	NA	Madrid	Sociedad Privada
CONSUR S.A.	57	Aerem Sulcans SL	España	España	Empresa privada	NA	Entidades financieras	Compraventa de participaciones	Madrid	Sociedad Privada
CORAL HOMES S.L.U	157	Lone Star	Estados Unidos	Luxemburgo	Soparfi	NA	Entidades financieras	Fondos de inversión	Madrid	Sociedad Privada
COVIBAR S. COOP. MADRID	277	Covibar	España	España	Cooperativa	NA	Otros	NA	Madrid	Sociedad Privada
CREDIFIMO S.A.	74	CaixaBank	España	España	Empresa privada	NA	Entidades financieras	Banca	Madrid	Sociedad Privada
CRITERIA CAIXA, S.A.U.	331	CaixaBank	España	España	Empresa privada	NA	Entidades financieras	Banca	Madrid	Sociedad Privada
CULVISA 1956, S.L.	102	Culvisa 1956 SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
CUTECO, S.L.	84	Cuteco SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
DACONE S.L.	52	Dacone SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
DAFAUCE, S.L	71	Dafauce SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
DALANDIA INVESTMENTS, S.L.	326	Ares Management Corporation	Estados Unidos	Luxemburgo	Socimi	NA	Entidades financieras	Fondos de inversión	Madrid	Sociedad Privada
DATEMA S.L.	67	Datema SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
DECOR II PROYECTOS INMOBILIARIOS, S.L.	60	Decor II Proyectos Inmobiliarios SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
DESARROLLOS ANMAR Y MARAL, S.L.	50	Desarrollos Anmar y Maral SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
DESARROLLOS AREA SUR S.L.U.	82	Promesenia SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
DEVELSA S.A.	55	Develsa SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
DIRECCIÓN GENERAL DE LA GUARDIA CIVIL- SERVIC.ACUART.-ARRENDAMIENTOS	149	Guardia Civil	España	España	Empresas públicas o administraciones	Administración central	Otros	Fuerzas de seguridad del Estado	Madrid	Sociedad Pública
DIVARIAN PROPIEDAD S.A.	627	Cerberus	Estados Unidos	Países Bajos 	Empresa privada	NA	Entidades financieras	Fondos de inversión	Madrid	Sociedad Privada
DOCTOR ESQUERDO 28, C.B.	51	Doctor Esquerdo 28 C.B.	España	España	Comunidad de bienes, de propietarios y herencias yacentes	NA	Comunidad de bienes, de propietarios y herencias yacentes	NA	Madrid	Sociedad Privada
DOMUS CAPITAL S.L.	55	Domus Capital SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
DONTE SPV 2018, S.L.U.	79	Paradocs Partners	Luxemburgo	Luxemburgo	Empresa privada	NA	Consultoría	NA	Madrid	Sociedad Privada
DRAGADOS,S.A.	59	ACS	España	España	Empresa privada	NA	Construcción	NA	Madrid	Sociedad Privada
EAGLE EYE POZUELO S.L.U.	61	Homax Holdings Private Limited	Singapur	Luxemburgo	Soparfi	NA	Entidades financieras	Compraventa de participaciones	Madrid	Sociedad Privada
EBOLI RETAIL, S.L.U.	64	BOF II Cayman Realty Holdings	Islas Caiman	Luxemburgo	Soparfi	NA	Consultoría	NA	Madrid	Sociedad Privada
EDIFICACIONES TIFAN SL	75	Edificaciones Tifan	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
EDIFICACIONES VALDEÓN, S.L.	63	Edificaciones Valdeón SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
EDIFICIO MIÑO, S.L.	143	Edificio Miño	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
EDIFICIO VIRIATO 57, SL.	52	Edificio Viriato 57 SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
EDIFICIOS CLASICOS METROPOLITANOS S.L.	173	Edificios Clásicos Metropolitanos	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
EDIFICIOS HERNANDO S.A.	76	Edificios Hernando SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
EL ARCE DE VILLALBA, S.L.U.	134	Grupo Ortiz	España	España	Socimi	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
EL ENCINAR DEL NORTE SAU	312	El Encinar del Norte SAU	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
EL PARQUE INMOBILIARIO DE INVERSIONES S.L	335	El Parque Inmobiliario de Inversiones SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
ELIX VINTAGE RESIDENCIAL SOCIMI, S.A.	84	Grupo Allianz	Alemania	Luxemburgo	Socimi	NA	Seguros	NA	Madrid	Sociedad Privada
EMPRESA MUNICIPAL DE LA VIVIENDA ALCOBENDAS, S.A.	398	Ayuntamiento de Alcobendas	España	España	Empresas públicas o administraciones	Ayuntamiento	Parque público	NA	Madrid	Sociedad Pública
EMPRESA MUNICIPAL DE LA VIVIENDA DE ALCALA DE HENARES, S.A.	115	Ayuntamiento de Alcalá de Henares	España	España	Empresas públicas o administraciones	Ayuntamiento	Parque público	NA	Madrid	Sociedad Pública
EMPRESA MUNICIPAL DE LA VIVIENDA DE COSLADA S.A.	165	Ayuntamiento de Coslada	España	España	Empresas públicas o administraciones	Ayuntamiento	Parque público	NA	Madrid	Sociedad Pública
EMPRESA MUNICIPAL DE LA VIVIENDA DE RIVAS VACIAMADRID, S.A.	1322	Ayuntamiento de Rivas	España	España	Empresas públicas o administraciones	Ayuntamiento	Parque público	NA	Madrid	Sociedad Pública
EMPRESA MUNICIPAL DE SUELO DE SAN FERNANDO DE HENARES,S.A.	162	Ayuntamiento de San Fernando de Henares	España	España	Empresas públicas o administraciones	Ayuntamiento	Parque público	NA	Madrid	Sociedad Pública
EMPRESA MUNICIPAL DE SUELO Y VIVIENDA DE S.SEBASTIAN DE LOS REYES,SAU	220	Ayuntamiento de Sanse	España	España	Empresas públicas o administraciones	Ayuntamiento	Parque público	NA	Madrid	Sociedad Pública
EMPRESA MUNICIPAL DEL SUELO Y DE LA VIVIENDA SOCIAL DE GETAFE S.A.	54	Ayuntamiento de Getafe	España	España	Empresas públicas o administraciones	Ayuntamiento	Parque público	NA	Madrid	Sociedad Pública
EMPRESA MUNICIPAL DEL SUELO Y VIVIENDA DE BOADILLA DEL MONTE S.A.	52	Ayuntamiento de Boadilla	España	España	Empresas públicas o administraciones	Ayuntamiento	Parque público	NA	Madrid	Sociedad Pública
EMPRESA MUNICIPAL VIVIENDA Y SUELO S.A. (DIRECCIÓN EC.-GESTIÓN COBRO)	6897	Ayuntamiento de Madrid	España	España	Empresas públicas o administraciones	Ayuntamiento	Parque público	NA	Madrid	Sociedad Pública
EMPRESA NACIONAL MARCASA	62	Mercasa	España	España	Empresas públicas o administraciones	Administración central	Centros comerciales y mercados	NA	Madrid	Sociedad Pública
EMSULE, S.A.	281	Ayuntamiento de Leganés	España	España	Empresas públicas o administraciones	Ayuntamiento	Parque público	NA	Madrid	Sociedad Pública
ENTRECAMPOS CUATRO, SOCIMI, S.A.	99	Entrecampos Cuatro Socimi SA	España	España	Socimi	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
EREMUBUS INVESTMENTS, S.A.	466	SMT Europe Cooperatief UA	Países Bajos	Países Bajos 	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
ESCARO PATRIMONIAL, S.L.U.	60	Escaro Patrimonial SLU	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
ESPAÑA, S.A. COMPAÑÍA NACIONAL DE SEGUROS	473	España S.A. Compañía Nacional de Seguros	España	España	Empresa privada	NA	Seguros	NA	Madrid	Sociedad Privada
EUROACTIVOS INMOBILIARIOS, S.L.	66	Euroactivos Inmobiliarios SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
EUROWILCOM S.A.	64	Eurowilcom SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
EXCEM CAPITAL PARTNERS SOCIEDAD DE INVERSION RESIDENCIAL	274	Grupo EXCEM	España	España	Socimi	NA	Otros	Cementera	Madrid	Sociedad Privada
EXPOMUEBLE,S.L.	64	Gm Cordeu Holding SL	España	España	Empresa privada	NA	Entidades financieras	Fondos de inversión	Madrid	Sociedad Privada
FE SOCIEDAD INMOBILIARIA, S.A.	67	Fe Sociedad Inmobiliaria SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
FERGA 10, S.A.	68	Ferga 10 SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
FERPRIM PROMOCIONES, S.A.	51	Ferprim Promociones SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
FIDERE COMUNIDAD S.L.U.,	186	Blackstone	Estados Unidos	Luxemburgo	Socimi	NA	Entidades financieras	Fondos de inversión	Madrid	Sociedad Privada
FIDERE GESTIÓN DE VIVIENDA 2, S.L.U.	517	Blackstone	Estados Unidos	Luxemburgo	Socimi	NA	Entidades financieras	Fondos de inversión	Madrid	Sociedad Privada
FIDERE GESTIÓN DE VIVIENDA S.L.U.	864	Blackstone	Estados Unidos	Luxemburgo	Socimi	NA	Entidades financieras	Fondos de inversión	Madrid	Sociedad Privada
FIDERE IP 2, S.L.U.	452	Blackstone	Estados Unidos	Luxemburgo	Socimi	NA	Entidades financieras	Fondos de inversión	Madrid	Sociedad Privada
FIDERE IP 3, S.L.U.	522	Blackstone	Estados Unidos	Luxemburgo	Socimi	NA	Entidades financieras	Fondos de inversión	Madrid	Sociedad Privada
FIDERE IP 5, S.L.U.	501	Blackstone	Estados Unidos	Luxemburgo	Socimi	NA	Entidades financieras	Fondos de inversión	Madrid	Sociedad Privada
FIDERE IP 6, S.L.	115	Blackstone	Estados Unidos	Luxemburgo	Socimi	NA	Entidades financieras	Fondos de inversión	Madrid	Sociedad Privada
FIDERE IP, S.L.U.	244	Blackstone	Estados Unidos	Luxemburgo	Socimi	NA	Entidades financieras	Fondos de inversión	Madrid	Sociedad Privada
FIDERE PROJECTS, S.L.U.	120	Blackstone	Estados Unidos	Luxemburgo	Socimi	NA	Entidades financieras	Fondos de inversión	Madrid	Sociedad Privada
FIDERE SCREEN, S.L.U.	537	Blackstone	Estados Unidos	Luxemburgo	Socimi	NA	Entidades financieras	Fondos de inversión	Madrid	Sociedad Privada
FIDERE VIVIENDA 2, S.L.	707	Blackstone	Estados Unidos	Luxemburgo	Socimi	NA	Entidades financieras	Fondos de inversión	Madrid	Sociedad Privada
FIDERE VIVIENDA 3, S.L.	666	Blackstone	Estados Unidos	Luxemburgo	Socimi	NA	Entidades financieras	Fondos de inversión	Madrid	Sociedad Privada
FIDERE VIVIENDA S.L.U.	1458	Blackstone	Estados Unidos	Luxemburgo	Socimi	NA	Entidades financieras	Fondos de inversión	Madrid	Sociedad Privada
FIMJO S.L.	117	Fimjo SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
FITENI RESIDENCIAL, S.L.	94	Fiteni SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
FITENI TERCIARIO S.L.	50	Fiteni SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
FITENI, S.L.	96	Fiteni SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
FLOREASCA, S.L.	97	Floreasca SL	España	España	Empresa privada	NA	Otros	Textil	Madrid	Sociedad Privada
FOMENTO DE INMUEBLES LASA, SL	60	Filasa	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
FOROCOTA MADRID S.L	99	Grumman Retail Services SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
FUENCASTEL, S.A.	92	Fuencastel SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
FUENTE LARIN ALQUILER S.L.U	227	Fuente Larin SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
FUENTIDUEÑA,S.A.	66	Fuentidueña SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
FUND. UNIVERSITARIA ESPAÑOLA	60	Fundación Universitaria Española	España	España	Fundaciones	NA	Fundaciones	Fundación universitaria	Madrid	Sociedad Privada
FUNDACIÓN ALFONSO MARTÍN ESCUDERO	280	Fundación Alfonso Martín Escudero	España	España	Fundaciones	NA	Fundaciones	NA	Madrid	Sociedad Privada
FUNDACION ANTONIO RODRIGUEZ DOCAMPO	53	Fundación Antonio Rodríguez Docampo	España	España	Fundaciones	NA	Fundaciones	Fundación sanitaria	Madrid	Sociedad Privada
FUNDACION BENEFICA MONEDERO	216	Fundación Benéfica Monedero	España	España	Fundaciones	NA	Fundaciones	Geriátricos	Madrid	Sociedad Privada
FUNDACION CARMEN Y Mª JOSE GODO	232	Fundació CMJ Godó	España	España	Fundaciones	NA	Fundaciones	Fundación social	Madrid	Sociedad Privada
FUNDACIÓN CATALINA LABOURÉ	95	Fundación Catalina Labouré	España	España	Fundaciones	NA	Fundaciones	NA	Madrid	Sociedad Privada
FUNDACIÓN FOMENTO HISPANIA	82	Fundación Fomento Hispania	España	España	Fundaciones	NA	Fundaciones	Fundación social	Madrid	Sociedad Privada
FUNDACIÓN JORGE SANTAFÉ MAIBACH	74	Fundación Jorge Santafé Maibach	España	España	Fundaciones	NA	Fundaciones	Fundación social	Madrid	Sociedad Privada
FUNDACIÓN OBRA SOCIAL Y MONTE DE PIEDAD DE MADRID	56	Fundación Montemadrid	España	España	Fundaciones	NA	Fundaciones	Fundación social	Madrid	Sociedad Privada
FUNDACION PEQUEÑOS PASOS	63	Fundación Pequeño Pasos	España	España	Fundaciones	NA	Fundaciones	Fundación social	Madrid	Sociedad Privada
GABINETE DE ESTUDIOS Y GESTION JURIDICA S.A.	61	Banco Caminos	España	España	Empresa privada	NA	Entidades financieras	Banca	Madrid	Sociedad Privada
GALIL CAPITAL RE SPAIN SOCIMI, S.A.	52	Galil Capital	España	España	Socimi	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
GARDEN VELAZQUEZ ARRENDADORA DE INMUEBLES S.L.	54	Garden Velázqiez Arrendadora de Inmuebles SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
GESTION INMOBILIARIA CASTAÑOS 15, S.L.	61	Gestión Inmobiliaria Castaños 15 SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
GLOBAL CARIHUELA PATRIMONIO COMERCIAL, S.L.U.	93	Merlin Properties Socimi SA	España	España	Socimi	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
GLOBAL LICATA SA	555	Cerberus	Estados Unidos	Países Bajos	Empresa privada	NA	Entidades financieras	Fondos de inversión	Madrid	Sociedad Privada
GLOBAL LUCANOR, SOCIMI S.L	222	DF Deutsche Finance Holding AG	Alemania	Luxemburgo	Socimi	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
GLOBAL MANZANA, S.L.U.	159	Grupo Allianz	Alemania	Luxemburgo	Soparfi	NA	Seguros	NA	Madrid	Sociedad Privada
GLOBAL SAUCO SOCIMI, S.L.	69	DF Deutsche Finance Holding AG	Alemania	Luxemburgo	Socimi	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
GMP PROPERTY SOCIMI, S.A	173	GIC	Singapur	España	Socimi	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
GOHA FUTURO, S.L.	98	Gm Cordeu Holding SL	España	España	Empresa privada	NA	Entidades financieras	Compraventa de participaciones	Madrid	Sociedad Privada
GORBEA DE ARRENDAMIENTOS S.L.	62	Gorbea de Arrendamientos SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
GRAMINA HOMES, S.L.	61	Lone Star	Estados Unidos	Bermudas	Empresa privada	NA	Entidades financieras	Fondos de inversión	Madrid	Sociedad Privada
GREGORIA RIAZA, S.L.	153	Gregorio Riaza	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
GRES NEDERLAND COOPERATIEF U.A. SUCURSAL EN ESPAÑA	84	GRES Nederland Coöperatief UA	Países Bajos	Países Bajos	Cooperativa	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
GRUPANGEL, C.B.	62	Grupangel CB	España	España	Comunidad de bienes, de propietarios y herencias yacentes	NA	Comunidad de bienes, de propietarios y herencias yacentes	NA	Madrid	Sociedad Privada
GRUPO CLABO 79, S.L.	70	Grupo Clabo 79 SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
GRUPO INMOBILIARIO DELTA, S.A.	61	Grupo Inmobiliario Delta SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
GRUPO PROMUR 63, S.L.	985	Grupo Promur 63 SL	España	España	Empresa privada	NA	Construcción	NA	Madrid	Sociedad Privada
GRUPO SETHOME, S.L.	98	Grupo Sethome SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
GRUPO SOPE, S.L.	124	Grupo Sope SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
HDROS. DE CARMEN GUTIERREZ GARCIA Y J.GUTIERREZ GARCIA CB	50	Herederos de Carmen Gutiérrez García y J.Gutiérrez García CB	España	España	Comunidad de bienes, de propietarios y herencias yacentes	NA	Comunidad de bienes, de propietarios y herencias yacentes	NA	Madrid	Sociedad Privada
HERCAS ARRENDAMIENTOS,S.L.	64	Hercas Arrendamientos SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
HEREDEROS DE Mª ESTRELLA CERDEIRA SORIANO	194	Herederos de Mª Estrella Cerdeira Soriano	España	España	Comunidad de bienes, de propietarios y herencias yacentes	NA	Comunidad de bienes, de propietarios y herencias yacentes	NA	Madrid	Sociedad Privada
HERMANDAD NACIONAL ARQUITECTOS SUPERIORES Y QUÍMICOS	126	Grupo HNA	España	España	Empresa privada	NA	Seguros	NA	Madrid	Sociedad Privada
HERMANOS REVILLA, S.A.	201	FCC	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
HERMES S.L. SERV.INM. Y GRALES	124	Hermes SL de Servicios Inmobiliarios y Generales	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
HESTIA TORRELODONES, S.L.	171	Tectum Real Estate Investments SL	España	España	Empresa privada	NA	Consultoría	NA	Madrid	Sociedad Privada
HICE, S.L.	51	Hice SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
HIJES, S.L.	72	Hijes SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
HOTELES E INMUEBLES, S.A.	130	Hoteles e Inmuebles SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
IGLESIAS DE GUISASOLA, C.B.	96	Iglesias de Guisasola CB	España	España	Comunidad de bienes, de propietarios y herencias yacentes	NA	Comunidad de bienes, de propietarios y herencias yacentes	NA	Madrid	Sociedad Privada
IKASA	210	Ikasa	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
IKASA ACTIVIDAD DE PATRIMONIO TERCIARIO	72	Ikasa	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
INFINORSA GESTION INMOBILIARIA-FINANCIERA, S.A.	81	Infinorsa Gestión Inmobiliaria y Financiera SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
INMO CRITERIA ARRENDAMIENTO II, S.L.U.	184	CaixaBank	España	España	Empresa privada	NA	Entidades financieras	Banca	Madrid	Sociedad Privada
INMO CRITERIA ARRENDAMIENTO III, S.L.U.	534	CaixaBank	España	España	Empresa privada	NA	Entidades financieras	Banca	Madrid	Sociedad Privada
INMO CRITERIA ARRENDAMIENTO S.L.U	132	CaixaBank	España	España	Empresa privada	NA	Entidades financieras	Banca	Madrid	Sociedad Privada
INMO CRITERIA PATRIMONIO, S.L.U.	351	CaixaBank	España	España	Empresa privada	NA	Entidades financieras	Banca	Madrid	Sociedad Privada
INMOAN S.L.	79	Inmoan SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
INMOB. HNOS. MARTIN-MALDONADO MARTIN S.L.	52	Inmobiliaria Hermanos Martín-Maldonado Martín SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
INMOBILARIA MAIQUEZ, S.A.	57	Inmobiliaria Maiquez SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
INMOBILIARIA ATAZAR S.A.	176	Adenara SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
INMOBILIARIA COLONIAL SOCIMI, S.A.	258	Grupo Colonial	España	España	Socimi	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
INMOBILIARIA DAGANZO, S.A.	421	Inmobiliaria Daganzo SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
INMOBILIARIA DE PROYECTOS Y CONSTRUCCIONES PÉREZ PILLADO, S.L.	61	Inmobiliaria de Proyectos y Construcciones Pérez Pillado SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
INMOBILIARIA EGIDO S.L.	209	Grupo Egido	España	España	Empresa privada	NA	Construcción	NA	Madrid	Sociedad Privada
INMOBILIARIA EGIDO, S.A.	76	Grupo Egido	España	España	Empresa privada	NA	Construcción	NA	Madrid	Sociedad Privada
INMOBILIARIA HIPEPAS, S.A.	82	Inmobiliaria Hipepas SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
INMOBILIARIA HISPANA, S.A.	396	Inmobiliaria Hispana, SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
INMOBILIARIA ISAR, S.A.	130	Inmobiliaria Isar SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
INMOBILIARIA LORENA, S.A.	142	Inmobiliaria Lorena SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
INMOBILIARIA LOZOYA S.A.	466	Grupo Lozoya	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
INMOBILIARIA MORATA, S.A.U.	582	Blismuac SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
INMOBILIARIA NUEVA CHARRA S.L.	193	Inmobiliaria Nueva Charra	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
INMOBILIARIA PARDIÑAS	83	Inmobiliaria Pardiñas	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
INMOBILIARIA SANDI, S.L.	723	Inmobiliaria Sandi	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
INMOBILIARIA TAJUÑA, S.A.	660	Adenara SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
INMOBILIARIA TEC MOLA, S.L.	89	Inmobiliaria Tec Mola SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
INMOBILIARIA URBANA DAFOR, S.A.	83	Inmobiliaria Urbana Dafor SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
INMOBILIARIA URBANA TORRADEL, S.A.	140	Inmobiliaria Urbana Torradel SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
INMOBIRENT ARAGÓN, S.A. Y OTROS C.B.	64	Inmobirent Aragón SA y otros CB	España	España	Comunidad de bienes, de propietarios y herencias yacentes	NA	Comunidad de bienes, de propietarios y herencias yacentes	NA	Madrid	Sociedad Privada
INMODOMOS, S.L.	111	Inmodomos SL	España	España	Empresa privada	NA	Construcción	NA	Madrid	Sociedad Privada
INMOFER S.L.	68	Inmofer SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
INMOUNO RESIDENCIAL, S.L. UNIPERSONAL	87	Inmunio Residencial SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
INMUEBLES FASER S.L.	60	Inmuebles Faser SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
INMUEBLES MARTINEZ POMARES S.L.	56	Inmuebles Martínez Pomares SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
INMUEBLES REGINA, S.A.	60	Inmuebles Regina SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
INSTITUTO MUNICIPAL DE SUELO MÓSTOLES	81	Ayuntamiento de Móstoles	España	España	Empresas públicas o administraciones	Ayuntamiento	Parque público	NA	Madrid	Sociedad Pública
INVERSA PRIME SOCIMI S.A.	128	Almagro Capital	España	España	Socimi	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
INVERSIONES 2000 TRES S.L.	83	Inversiones 2000 Tres SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
INVERSIONES DOALCA SOCIMI, S.A.	64	Inversiones Doalca Socimi	España	España	Socimi	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
INVERSIONES INMOBILIARIAS CANVIVES, S.A.	85	Blackstone	Estados Unidos	Luxemburgo	Soparfi	NA	Entidades financieras	Fondos de inversión	Madrid	Sociedad Privada
INVERSIONES INMOBILIARIAS CRE S.L.	52	Inversiones Inmobiliarias Cre SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
INVERSIONES INMOBILIARIAS LIMARA, S.L.	76	Blackstone	Estados Unidos	Luxemburgo	Soparfi	NA	Entidades financieras	Fondos de inversión	Madrid	Sociedad Privada
INVERSIONES ODONTOLÓGICAS 2016, S.L.U.	76	Advent International Corporation	Estados Unidos	Luxemburgo	Soparfi	NA	Entidades financieras	Fondos de inversión	Madrid	Sociedad Privada
